SPEEDELEC  Booster; 35.0; 10900.0; false; 13200; green; 1279
FOLDING BIKE  Comanche; 20.0; 27; 11700.0; false; yellow; 1349
FOLDING BIKE  Crosser; 24.0; 6; 9500.0; false; lemon; 1675
E-BIKE  Farad; 25.0; 20700.0; false; 13000; blue; 2355
E-BIKE  Xiaomi; 65.0; 22100.0; false; 11000; dark gray; 1905
SPEEDELEC  Ultron; 35.0; 7600.0; false; 3900; grenadine; 1179
SPEEDELEC  Dualtron; 35.0; 12900.0; true; 9900; grey; 379
SPEEDELEC  AirWheel; 45.0; 9900.0; true; 11400; grenadine; 469
E-BIKE  Zaxboard; 30.0; 20300.0; false; 30000; yellow; 1975
E-BIKE  Rover; 20.0; 21400.0; false; 16000; flame; 1659
FOLDING BIKE  Brompton; 20.0; 6; 9600.0; true; orange; 885
E-BIKE  ION; 20.0; 20200.0; false; 20000; grey; 1989
E-BIKE  Zaxboard; 30.0; 22500.0; false; 28000; pink; 3345
FOLDING BIKE  West Bike; 18.0; 18; 15700.0; false; lemon; 339
SPEEDELEC  Speedelec Minirider; 55.0; 6900.0; true; 3800; yellow; 685
E-BIKE  Gazelle; 35.0; 24700.0; true; 22000; brown; 3219
SPEEDELEC  Xiaomi; 35.0; 15300.0; false; 11700; beige; 1269
FOLDING BIKE  Make Bike; 16.0; 18; 8900.0; false; orange; 1109
E-BIKE  Zaxboard; 65.0; 23300.0; false; 16000; grenadine; 1275
E-BIKE  Ferrari; 25.0; 21900.0; false; 15000; green; 1689
FOLDING BIKE  Crosser; 20.0; 9; 9500.0; true; rose; 979
E-BIKE  Mercedes; 50.0; 24200.0; true; 21000; orange; 3459
SPEEDELEC  Ultron; 40.0; 11900.0; true; 7100; white; 1305
FOLDING BIKE  Trinx; 18.0; 18; 9600.0; false; yellow; 359
SPEEDELEC  ITrike; 60.0; 19600.0; true; 9800; red; 1385
SPEEDELEC  ITrike; 60.0; 13200.0; false; 13800; orange; 475
FOLDING BIKE  VNV; 26.0; 3; 14600.0; false; beige; 715
FOLDING BIKE  Dahon; 24.0; 21; 9000.0; false; dark gray; 485
E-BIKE  Mando Footloose; 40.0; 21500.0; false; 28000; white; 1815
E-BIKE  Ferrari; 30.0; 19200.0; false; 9000; beige; 3059
SPEEDELEC  Ultron; 30.0; 20300.0; true; 14800; green; 299
FOLDING BIKE  Polygon; 16.0; 24; 11100.0; false; lemon; 1379
E-BIKE  Farad; 65.0; 28500.0; false; 25000; grenadine; 3385
SPEEDELEC  Dualtron; 50.0; 16100.0; false; 2600; violet; 1645
FOLDING BIKE  Flex; 24.0; 21; 12400.0; true; silver; 1559
E-BIKE  Zaxboard; 45.0; 24300.0; true; 23000; marine; 1535
FOLDING BIKE  Kross; 18.0; 6; 8800.0; true; golden; 379
FOLDING BIKE  Dahon; 20.0; 3; 8000.0; true; lemon; 779
E-BIKE  Porshe Design; 50.0; 28100.0; true; 13000; pink; 755
FOLDING BIKE  Author; 24.0; 27; 13200.0; false; flame; 325
FOLDING BIKE  BMW; 18.0; 27; 10600.0; true; dark gray; 1549
E-BIKE  Rover; 20.0; 26100.0; false; 29000; grenadine; 2219
E-BIKE  Felt; 20.0; 19300.0; true; 16000; flame; 2745
SPEEDELEC  E-Scooter; 35.0; 9700.0; false; 11500; yellow; 559
SPEEDELEC  Maraton; 65.0; 16300.0; true; 12100; red; 1499
SPEEDELEC  Xiaomi; 55.0; 9500.0; false; 12500; golden; 779
E-BIKE  Haibike; 60.0; 25700.0; true; 8000; golden; 1299
E-BIKE  E-Motion; 35.0; 25700.0; false; 16000; blue; 3399
E-BIKE  ElectrO; 20.0; 19100.0; false; 30000; dark gray; 3259
SPEEDELEC  Aest; 55.0; 21800.0; false; 8400; blue; 359
E-BIKE  ElectrO; 50.0; 22600.0; false; 22000; emerald; 2205
FOLDING BIKE  Brompton; 20.0; 7; 8000.0; false; dark gray; 999
SPEEDELEC  Dualtron; 25.0; 21900.0; true; 6500; silver; 1419
E-BIKE  Zaxboard; 25.0; 26200.0; true; 22000; silver; 705
FOLDING BIKE  Polygon; 16.0; 21; 16800.0; false; khaki; 295
FOLDING BIKE  Author; 14.0; 9; 9100.0; false; lemon; 529
SPEEDELEC  Segway; 25.0; 16800.0; false; 2200; silver; 929
SPEEDELEC  Speedway; 35.0; 18400.0; true; 11900; grey; 339
FOLDING BIKE  Titan; 24.0; 6; 14400.0; true; khaki; 359
E-BIKE  E-Motion; 40.0; 19100.0; false; 26000; khaki; 1015
SPEEDELEC  Dualtron; 25.0; 10000.0; true; 9100; brown; 1279
SPEEDELEC  Booster; 20.0; 15000.0; false; 10300; orange; 399
FOLDING BIKE  Cayman; 26.0; 18; 8600.0; true; brown; 389
E-BIKE  Rover; 60.0; 27300.0; false; 11000; red; 1155
SPEEDELEC  E-Scooter; 25.0; 9700.0; false; 14700; beige; 939
FOLDING BIKE  Trinx; 24.0; 3; 8800.0; false; rose; 699
FOLDING BIKE  Brompton; 26.0; 7; 15100.0; true; golden; 255
FOLDING BIKE  Dahon; 24.0; 18; 9000.0; false; red; 1505
E-BIKE  Ferrari; 65.0; 27300.0; true; 18000; rose; 1675
E-BIKE  Scott; 20.0; 27100.0; false; 20000; black; 2565
E-BIKE  Porshe Design; 65.0; 28600.0; true; 11000; yellow; 1085
FOLDING BIKE  Flex; 16.0; 18; 12500.0; false; grenadine; 905
E-BIKE  Ecofect; 45.0; 24500.0; true; 27000; yellow; 2929
E-BIKE  Xiaomi; 50.0; 26400.0; false; 15000; red; 679
FOLDING BIKE  Stern; 26.0; 24; 11200.0; true; black; 339
FOLDING BIKE  Intertool; 24.0; 9; 10600.0; false; blue; 725
E-BIKE  Felt; 60.0; 22400.0; true; 25000; violet; 719
SPEEDELEC  Ultron; 20.0; 8100.0; false; 3800; black; 779
FOLDING BIKE  Benetti; 20.0; 27; 15100.0; true; lemon; 1095
SPEEDELEC  EcoRide; 50.0; 19500.0; false; 11100; green; 449
FOLDING BIKE  Cayman; 26.0; 18; 12500.0; true; coral; 1185
E-BIKE  SkyBike; 30.0; 22800.0; false; 19000; red; 3305
SPEEDELEC  EcoRide; 15.0; 7200.0; false; 11200; green; 1135
SPEEDELEC  ITrike; 35.0; 18900.0; false; 7600; flame; 1235
FOLDING BIKE  Dahon; 16.0; 1; 12100.0; false; grey; 799
E-BIKE  Porshe Design; 35.0; 20100.0; true; 25000; dark gray; 759
FOLDING BIKE  Dahon; 20.0; 18; 16500.0; true; olive; 1215
FOLDING BIKE  Formula; 24.0; 8; 10300.0; true; silver; 619
FOLDING BIKE  Intertool; 24.0; 9; 13300.0; false; silver; 529
FOLDING BIKE  Formula; 16.0; 6; 16900.0; false; golden; 445
FOLDING BIKE  Make Bike; 26.0; 27; 8100.0; true; red; 305
E-BIKE  Mando Footloose; 20.0; 22000.0; true; 16000; blue; 2539
SPEEDELEC  E-Scooter; 30.0; 10500.0; false; 9200; emerald; 155
E-BIKE  Xiaomi; 20.0; 28900.0; true; 31000; khaki; 1739
E-BIKE  Felt; 35.0; 22800.0; false; 13000; beige; 1975
E-BIKE  Farad; 35.0; 27000.0; true; 12000; blue; 1579
SPEEDELEC  Smart; 45.0; 8500.0; true; 12400; yellow; 545
SPEEDELEC  Ultron; 65.0; 21600.0; false; 4800; silver; 599
SPEEDELEC  Smart; 45.0; 21100.0; true; 6200; violet; 339
E-BIKE  Ecofect; 30.0; 21000.0; true; 10000; orange; 2479
E-BIKE  SkyBike; 65.0; 23200.0; false; 31000; khaki; 675
E-BIKE  Scott; 30.0; 28000.0; true; 31000; olive; 1125
SPEEDELEC  Dualtron; 15.0; 16900.0; false; 7500; black; 225
FOLDING BIKE  SkyBike; 16.0; 9; 14800.0; true; yellow; 1049
FOLDING BIKE  Dahon; 20.0; 1; 13100.0; false; grenadine; 1329
FOLDING BIKE  Crosser; 20.0; 1; 14800.0; true; white; 395
E-BIKE  Ecofect; 25.0; 26400.0; false; 17000; silver; 1145
FOLDING BIKE  Dahon; 24.0; 7; 10900.0; false; violet; 1515
E-BIKE  Gazelle; 25.0; 28900.0; false; 12000; red; 2129
E-BIKE  ION; 45.0; 23500.0; false; 24000; pink; 739
E-BIKE  GoCycle; 65.0; 25200.0; true; 26000; dark gray; 2829
E-BIKE  Mando Footloose; 55.0; 20600.0; false; 21000; coral; 1385
E-BIKE  SkyBike; 55.0; 25900.0; false; 9000; silver; 3239
FOLDING BIKE  Crosser; 20.0; 18; 13800.0; false; khaki; 249
E-BIKE  Gazelle; 55.0; 23800.0; false; 22000; marine; 3375
SPEEDELEC  Dualtron; 65.0; 6600.0; false; 6300; grenadine; 1435
FOLDING BIKE  Polygon; 24.0; 3; 14000.0; false; khaki; 639
FOLDING BIKE  Dahon; 26.0; 27; 12600.0; false; beige; 1025
SPEEDELEC  Speedway; 30.0; 13200.0; true; 15600; brown; 1575
FOLDING BIKE  Benetti; 20.0; 6; 16000.0; false; dark gray; 289
FOLDING BIKE  Benetti; 20.0; 21; 13600.0; false; lemon; 1399
E-BIKE  Haibike; 30.0; 26200.0; false; 24000; red; 1979
E-BIKE  SkyBike; 60.0; 20700.0; false; 15000; violet; 2119
E-BIKE  SkyBike; 40.0; 27400.0; true; 8000; orange; 1699
FOLDING BIKE  Crosser; 20.0; 18; 14000.0; true; violet; 369
E-BIKE  Xiaomi; 55.0; 23600.0; false; 8000; black; 2555
FOLDING BIKE  West Bike; 18.0; 27; 11700.0; false; emerald; 1439
SPEEDELEC  Smart; 55.0; 9400.0; true; 12700; white; 535
E-BIKE  Gazelle; 60.0; 20600.0; false; 11000; emerald; 2879
E-BIKE  Ferrari; 50.0; 28500.0; false; 25000; golden; 1489
SPEEDELEC  Xiaomi; 25.0; 13500.0; true; 7300; blue; 1569
SPEEDELEC  Dualtron; 15.0; 11800.0; true; 10500; yellow; 1449
FOLDING BIKE  Author; 20.0; 8; 9300.0; true; emerald; 1355
E-BIKE  Ferrari; 20.0; 23800.0; true; 14000; violet; 2479
SPEEDELEC  Freego; 65.0; 18400.0; false; 5000; yellow; 1309
SPEEDELEC  Speedelec Minirider; 15.0; 10000.0; false; 15100; orange; 1349
SPEEDELEC  Kugoo; 20.0; 11600.0; true; 13500; dark gray; 349
E-BIKE  GoCycle; 55.0; 25000.0; false; 23000; flame; 2189
SPEEDELEC  Dualtron; 30.0; 15500.0; false; 4900; red; 439
E-BIKE  Felt; 30.0; 25200.0; false; 10000; dark gray; 2845
E-BIKE  Rover; 40.0; 28100.0; false; 13000; grenadine; 1649
FOLDING BIKE  Polygon; 24.0; 27; 10600.0; true; grey; 645
E-BIKE  Zaxboard; 55.0; 22400.0; true; 27000; blue; 2249
E-BIKE  GoCycle; 50.0; 24400.0; true; 22000; coral; 2195
E-BIKE  Koga; 20.0; 22900.0; false; 12000; olive; 2129
E-BIKE  Lankeleisi; 50.0; 22500.0; false; 13000; golden; 795
FOLDING BIKE  Intertool; 20.0; 1; 14300.0; true; khaki; 859
SPEEDELEC  Xiaomi; 45.0; 18200.0; false; 10400; white; 679
SPEEDELEC  OIO; 10.0; 19300.0; false; 14500; red; 265
FOLDING BIKE  Stern; 24.0; 21; 12800.0; false; blue; 725
E-BIKE  Koga; 65.0; 20200.0; true; 19000; grey; 3185
FOLDING BIKE  BMW; 20.0; 9; 14600.0; true; marine; 1605
SPEEDELEC  AirWheel; 15.0; 9900.0; true; 14000; olive; 1009
E-BIKE  Zaxboard; 55.0; 20700.0; false; 27000; marine; 909
E-BIKE  Scott; 25.0; 21300.0; true; 15000; pink; 3359
SPEEDELEC  Booster; 65.0; 6600.0; false; 11700; pink; 605
SPEEDELEC  Maraton; 55.0; 17500.0; false; 2100; dark gray; 765
SPEEDELEC  Ultron; 50.0; 20500.0; false; 13000; emerald; 549
FOLDING BIKE  Titan; 24.0; 3; 10600.0; false; grenadine; 1075
SPEEDELEC  Booster; 60.0; 16200.0; false; 8100; red; 329
E-BIKE  GoCycle; 55.0; 19600.0; true; 14000; yellow; 1949
SPEEDELEC  Speedway; 50.0; 21200.0; false; 15900; dark gray; 1159
SPEEDELEC  Segway; 50.0; 12800.0; true; 4800; green; 1319
E-BIKE  Rover; 35.0; 22400.0; false; 11000; rose; 2429
FOLDING BIKE  Dahon; 24.0; 9; 10600.0; false; lemon; 389
SPEEDELEC  ITrike; 65.0; 21800.0; false; 12900; violet; 1389
FOLDING BIKE  Titan; 20.0; 6; 13100.0; true; rose; 365
FOLDING BIKE  Titan; 24.0; 3; 13100.0; true; olive; 875
FOLDING BIKE  West Bike; 24.0; 9; 9600.0; true; beige; 1315
FOLDING BIKE  Author; 20.0; 21; 14000.0; false; grenadine; 1075
FOLDING BIKE  Stern; 18.0; 3; 14500.0; false; rose; 1635
E-BIKE  Felt; 60.0; 21000.0; false; 26000; dark gray; 2279
E-BIKE  Scott; 45.0; 21800.0; true; 28000; dark gray; 2039
FOLDING BIKE  Crosser; 16.0; 6; 11700.0; true; black; 1065
SPEEDELEC  Segway; 20.0; 7600.0; true; 2200; olive; 669
SPEEDELEC  E-Scooter; 65.0; 19400.0; true; 3800; grey; 1115
FOLDING BIKE  Comanche; 20.0; 18; 9100.0; true; violet; 1025
E-BIKE  Xiaomi; 30.0; 22800.0; true; 25000; coral; 3119
E-BIKE  Zaxboard; 20.0; 27000.0; true; 23000; yellow; 1309
SPEEDELEC  Peugeot; 55.0; 6800.0; true; 12900; khaki; 515
FOLDING BIKE  Cayman; 24.0; 7; 15600.0; false; golden; 999
SPEEDELEC  EcoRide; 45.0; 8400.0; false; 8300; beige; 1615
FOLDING BIKE  Dahon; 14.0; 7; 13900.0; false; khaki; 1009
SPEEDELEC  Smart; 20.0; 8700.0; true; 10500; silver; 1239
SPEEDELEC  Speedway; 45.0; 21300.0; false; 4400; green; 1279
FOLDING BIKE  Flex; 26.0; 3; 14800.0; false; golden; 205
SPEEDELEC  Speedelec Minirider; 25.0; 20400.0; false; 10900; grenadine; 1465
E-BIKE  ION; 25.0; 19600.0; false; 8000; green; 2209
E-BIKE  Lankeleisi; 60.0; 19100.0; false; 28000; flame; 2989
FOLDING BIKE  Kross; 20.0; 7; 15800.0; false; red; 439
FOLDING BIKE  Make Bike; 14.0; 8; 10000.0; true; olive; 1149
SPEEDELEC  Tesla; 35.0; 20300.0; true; 7700; flame; 135
FOLDING BIKE  Intertool; 24.0; 27; 9400.0; false; violet; 1585
SPEEDELEC  ITrike; 10.0; 20900.0; true; 5700; golden; 1475
SPEEDELEC  AirWheel; 20.0; 14300.0; false; 4000; yellow; 1635
E-BIKE  Scott; 65.0; 24400.0; false; 15000; brown; 1215
E-BIKE  Koga; 35.0; 28100.0; true; 25000; silver; 2125
SPEEDELEC  Booster; 15.0; 19000.0; false; 6600; green; 359
E-BIKE  ElectrO; 20.0; 22500.0; false; 31000; rose; 2029
FOLDING BIKE  Comanche; 20.0; 9; 11100.0; true; beige; 1639
E-BIKE  Mando Footloose; 40.0; 24200.0; false; 16000; golden; 2255
SPEEDELEC  Booster; 55.0; 19200.0; true; 2900; pink; 549
SPEEDELEC  OIO; 20.0; 7600.0; true; 13500; violet; 849
SPEEDELEC  Ultron; 20.0; 12900.0; false; 12300; grenadine; 425
SPEEDELEC  Xiaomi; 10.0; 9700.0; true; 8400; silver; 795
FOLDING BIKE  Titan; 24.0; 9; 15000.0; true; lemon; 1525
SPEEDELEC  Xiaomi; 10.0; 20800.0; true; 10400; brown; 505
E-BIKE  Zaxboard; 60.0; 28500.0; false; 27000; silver; 1319
SPEEDELEC  Speedelec Minirider; 35.0; 9000.0; true; 4200; black; 1479
E-BIKE  Haibike; 55.0; 27400.0; true; 12000; rose; 1955
FOLDING BIKE  BMW; 20.0; 27; 13200.0; false; golden; 1289
E-BIKE  Mando Footloose; 35.0; 24300.0; false; 26000; yellow; 1369
E-BIKE  ElectrO; 60.0; 25700.0; false; 19000; blue; 1725
E-BIKE  Lankeleisi; 35.0; 27800.0; true; 26000; coral; 3175
E-BIKE  Felt; 60.0; 27500.0; false; 29000; blue; 2825
E-BIKE  Mercedes; 25.0; 19400.0; true; 23000; blue; 1719
SPEEDELEC  AirWheel; 65.0; 12200.0; false; 13400; rose; 609
SPEEDELEC  Segway; 45.0; 6800.0; false; 3700; flame; 259
SPEEDELEC  Aest; 35.0; 18100.0; true; 5000; violet; 1049
E-BIKE  ION; 60.0; 27200.0; false; 28000; emerald; 1939
E-BIKE  ElectrO; 40.0; 23600.0; false; 11000; orange; 2445
SPEEDELEC  Speedelec Minirider; 65.0; 14500.0; true; 13600; marine; 1279
SPEEDELEC  Segway; 45.0; 20700.0; false; 10700; yellow; 689
E-BIKE  Zaxboard; 35.0; 24600.0; true; 17000; khaki; 2015
E-BIKE  Gazelle; 65.0; 25500.0; true; 28000; emerald; 3049
E-BIKE  Farad; 60.0; 21200.0; false; 16000; green; 1949
FOLDING BIKE  Stern; 20.0; 8; 15500.0; false; dark gray; 519
FOLDING BIKE  Flex; 24.0; 21; 9700.0; false; dark gray; 1539
E-BIKE  ElectrO; 65.0; 27100.0; false; 15000; green; 2615
E-BIKE  Gazelle; 60.0; 26600.0; true; 12000; emerald; 2985
SPEEDELEC  EcoRide; 30.0; 19900.0; false; 2100; olive; 369
SPEEDELEC  E-Scooter; 60.0; 14900.0; true; 2900; white; 129
E-BIKE  Farad; 50.0; 25900.0; true; 23000; emerald; 2039
SPEEDELEC  ITrike; 55.0; 14100.0; false; 14100; marine; 1459
FOLDING BIKE  Flex; 26.0; 3; 13700.0; true; olive; 1129
FOLDING BIKE  VNV; 26.0; 6; 10800.0; true; red; 1435
SPEEDELEC  Smart; 30.0; 19300.0; false; 12700; marine; 1259
SPEEDELEC  Ultron; 55.0; 19600.0; true; 9900; olive; 1515
FOLDING BIKE  Flex; 24.0; 8; 12600.0; true; emerald; 825
E-BIKE  Scott; 40.0; 21600.0; true; 25000; brown; 1049
E-BIKE  Koga; 20.0; 22200.0; false; 27000; pink; 839
SPEEDELEC  Maraton; 45.0; 9200.0; false; 7400; marine; 1369
SPEEDELEC  AirWheel; 35.0; 7100.0; true; 13600; green; 399
FOLDING BIKE  Stern; 26.0; 27; 8200.0; true; olive; 1325
SPEEDELEC  Dualtron; 25.0; 7000.0; true; 5100; coral; 1595
SPEEDELEC  Peugeot; 15.0; 11900.0; false; 11600; rose; 1589
E-BIKE  Koga; 60.0; 20400.0; true; 28000; white; 2829
SPEEDELEC  E-Scooter; 60.0; 9600.0; false; 2700; rose; 1415
SPEEDELEC  E-Scooter; 40.0; 19800.0; false; 3000; grenadine; 709
SPEEDELEC  EcoRide; 10.0; 18400.0; true; 13200; black; 335
SPEEDELEC  Aest; 40.0; 15100.0; true; 7700; olive; 159
SPEEDELEC  OIO; 10.0; 12100.0; true; 9200; blue; 1169
SPEEDELEC  Segway; 50.0; 14300.0; true; 12700; coral; 609
SPEEDELEC  Tesla; 20.0; 15200.0; true; 9700; blue; 1015
FOLDING BIKE  BMW; 26.0; 27; 10800.0; false; grenadine; 745
SPEEDELEC  Booster; 30.0; 18500.0; true; 12700; coral; 885
FOLDING BIKE  Comanche; 20.0; 21; 11400.0; false; orange; 985
FOLDING BIKE  Titan; 26.0; 21; 11200.0; true; blue; 785
SPEEDELEC  Aest; 40.0; 14100.0; true; 6000; silver; 409
SPEEDELEC  Tesla; 35.0; 16200.0; true; 6500; coral; 439
FOLDING BIKE  Make Bike; 20.0; 3; 10300.0; true; silver; 955
SPEEDELEC  Xiaomi; 55.0; 6500.0; false; 3700; blue; 595
SPEEDELEC  Xiaomi; 45.0; 20900.0; true; 14900; black; 655
FOLDING BIKE  Brompton; 24.0; 24; 14500.0; true; dark gray; 1145
E-BIKE  Zaxboard; 60.0; 26300.0; true; 28000; yellow; 1675
E-BIKE  ElectrO; 40.0; 23400.0; false; 25000; flame; 1329
SPEEDELEC  Peugeot; 45.0; 17200.0; false; 9100; white; 1599
SPEEDELEC  Peugeot; 40.0; 14800.0; true; 13200; rose; 339
E-BIKE  Felt; 65.0; 22000.0; true; 11000; rose; 1235
FOLDING BIKE  Crosser; 24.0; 1; 16100.0; true; orange; 265
E-BIKE  Rover; 60.0; 27100.0; true; 20000; beige; 1399
SPEEDELEC  Booster; 50.0; 11900.0; false; 5700; pink; 1565
SPEEDELEC  OIO; 45.0; 10400.0; true; 11300; golden; 355
E-BIKE  Gazelle; 50.0; 26900.0; true; 15000; green; 2359
E-BIKE  Ecofect; 25.0; 23100.0; true; 31000; marine; 3419
SPEEDELEC  Speedelec Minirider; 65.0; 20000.0; true; 8100; black; 1409
SPEEDELEC  Speedelec Minirider; 55.0; 12200.0; true; 12200; rose; 739
SPEEDELEC  Peugeot; 60.0; 19300.0; true; 11300; beige; 185
E-BIKE  Farad; 50.0; 22400.0; false; 14000; red; 1539
SPEEDELEC  Freego; 65.0; 18600.0; false; 14600; white; 209
SPEEDELEC  Aest; 50.0; 15600.0; false; 7600; yellow; 379
FOLDING BIKE  Comanche; 20.0; 7; 15600.0; false; pink; 459
E-BIKE  Scott; 35.0; 25300.0; false; 16000; olive; 3019
E-BIKE  Mercedes; 60.0; 24300.0; true; 14000; silver; 1505
SPEEDELEC  AirWheel; 45.0; 9200.0; true; 15100; emerald; 815
FOLDING BIKE  VNV; 24.0; 1; 14400.0; true; white; 235
SPEEDELEC  Speedelec Minirider; 30.0; 17600.0; true; 7900; coral; 1195
SPEEDELEC  Speedelec Minirider; 65.0; 12300.0; true; 6200; dark gray; 1399
E-BIKE  Rover; 30.0; 19000.0; true; 22000; grey; 3369
SPEEDELEC  ITrike; 45.0; 13000.0; true; 8100; grenadine; 1185
E-BIKE  Farad; 20.0; 20400.0; true; 20000; beige; 2509
FOLDING BIKE  Trinx; 24.0; 6; 8200.0; false; orange; 1559
SPEEDELEC  E-Scooter; 50.0; 12700.0; false; 4500; black; 299
FOLDING BIKE  Dahon; 14.0; 21; 13500.0; false; coral; 475
FOLDING BIKE  Formula; 20.0; 24; 16600.0; true; grenadine; 1585
FOLDING BIKE  Dahon; 20.0; 9; 13900.0; true; silver; 1685
SPEEDELEC  EcoRide; 20.0; 12100.0; true; 5400; golden; 1199
FOLDING BIKE  Trinx; 26.0; 24; 14500.0; true; green; 905
FOLDING BIKE  Intertool; 26.0; 9; 13400.0; false; emerald; 435
E-BIKE  Rover; 45.0; 25700.0; false; 23000; orange; 3069
FOLDING BIKE  Stern; 16.0; 1; 13500.0; true; white; 899
E-BIKE  Rover; 20.0; 19000.0; true; 11000; khaki; 1009
FOLDING BIKE  Brompton; 24.0; 3; 10400.0; true; olive; 1315
FOLDING BIKE  Crosser; 20.0; 1; 14700.0; true; silver; 375
